Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mike James,87552.00,USA,62.00,27.00,TOT,36.00,687.00,13.90,0.47,0.31,0.26,2.00,12.20,7.00,29.50,2.00,0.80,12.00,25.10,-0.10,0.30,0.20,0.02,-0.80,-1.80,-2.70,-0.10
Mike Conley,28530608.00,USA,4.00,30.00,MEM,12.00,373.00,15.50,0.52,0.46,0.39,0.00,8.60,4.20,22.30,1.60,0.80,8.40,25.90,0.40,0.20,0.60,0.08,1.20,-3.40,-2.20,0.00
Michael Kidd-Gilchrist,13000000.00,USA,2.00,24.00,CHO,71.00,1778.00,12.60,0.53,0.00,0.30,4.90,13.20,9.00,6.00,1.30,1.50,7.60,16.40,1.60,1.50,3.10,0.08,-2.10,0.30,-1.80,0.10
Michael Carter-Williams,2700000.00,USA,11.00,26.00,CHO,52.00,835.00,10.90,0.45,0.26,0.39,4.70,13.40,8.90,19.50,2.60,2.30,16.20,16.60,-0.20,1.10,0.80,0.05,-2.60,2.00,-0.70,0.30
Michael Beasley,2116955.00,USA,2.00,29.00,NYK,70.00,1582.00,17.70,0.56,0.10,0.20,6.30,21.50,13.90,12.40,1.00,2.20,14.10,26.80,0.90,1.40,2.20,0.07,-1.10,-0.60,-1.70,0.10
Meyers Leonard,9904495.00,USA,11.00,25.00,POR,30.00,237.00,16.80,0.66,0.33,0.14,5.10,24.20,14.80,10.60,1.30,0.00,11.60,16.00,0.60,0.30,0.90,0.18,0.60,-0.30,0.30,0.10
Maxi Kleber,815615.00,Germany,62.00,26.00,DAL,69.00,1155.00,12.90,0.57,0.41,0.20,6.30,14.80,10.40,6.10,1.10,3.40,7.90,13.50,1.50,1.20,2.60,0.11,-1.20,1.20,0.00,0.60
Maurice Harkless,10162922.00,USA,15.00,24.00,POR,59.00,1264.00,12.60,0.60,0.40,0.20,4.00,9.90,7.00,6.00,1.90,2.80,11.00,12.60,1.60,1.60,3.20,0.12,-0.20,2.00,1.80,1.20
Matthew Dellavedova,9607500.00,Australia,62.00,27.00,MIL,37.00,702.00,8.70,0.51,0.52,0.17,2.20,8.40,5.30,27.30,1.00,0.00,23.10,13.40,0.30,0.20,0.50,0.03,-2.20,-3.60,-5.80,-0.70
Matt Williams,50000.00,USA,62.00,24.00,MIA,3.00,11.00,-0.70,0.42,0.83,0.00,0.00,10.20,5.10,0.00,0.00,0.00,14.30,28.60,-0.10,0.00,0.00,-0.20,-8.60,-8.60,-17.10,0.00
Mason Plumlee,14041096.00,USA,22.00,27.00,DEN,70.00,1373.00,16.80,0.58,0.00,0.48,10.30,21.00,15.60,14.60,1.70,4.70,18.80,16.60,1.70,1.60,3.30,0.12,-1.00,2.60,1.60,1.30
Marvin Williams,13168750.00,USA,2.00,31.00,CHO,75.00,1941.00,13.30,0.59,0.54,0.22,3.90,16.40,10.00,6.70,1.30,1.50,9.70,14.50,2.70,1.80,4.50,0.11,0.70,0.40,1.10,1.50
